"code_tete_rgpmt","libelle_en_tete_regroupement"
"507","Réaliser la pose d''éléments/composants sur des ouvrages en bois :"
"508","Réaliser la préparation de pièces par :"
"605","Réaliser la récolte de :"
"454","Réaliser la taille de pierre en :"
"509","Réaliser la taille, la gravure et/ou le guillochage selon des techniques et outils spécifiques :"
"511","Réaliser le contrôle aérien sur des zones militaires :"
"512","Réaliser le patron modèle d''articles :"
"515","Réaliser les opérations d''instruction nécessitant des qualifications homologuées Flight Crew Licencing :"
"514","Réaliser les opérations de gestion d''un service/groupe/département :"
"516","Réaliser ou mettre en forme une maquette ou un prototype en :"
"517","Réaliser ou ornementer des produits:"
"518","Réaliser ou raser des pièces (moquette, couverture, tulle, ...) sur :"
"519","Réaliser sur des chaussures des opérations de :"
"437","Réaliser sur des panneaux de bois des opérations de finition :"
"522","Réaliser sur un site Web des opérations de :"
"523","Réaliser un accompagnement sportif nécessitant une qualification dans un domaine :"
"524","Réaliser un contrôle aérien :"
"525","Réaliser un contrôle d''éléments chaudronnés par :"
"526","Réaliser un contrôle spécifique dans un domaine :"
"527","Réaliser un numéro de cirque :"
"529","Réaliser un patronage pour des articles de :"
"528","Réaliser un patronage pour des articles en :"
"531","Réaliser un type d''évaluation :"
"530","Réaliser un type de support d''expression graphique :"
"604","Réaliser une activité nécessitant :"
"532","Réaliser une gérance immobilière de :"
"533","Réaliser une navigation maritime :"
"536","Réaliser une opération :"
"535","Réaliser une opération d''usinage :"
"534","Réaliser une opération de déformation :"
"537","Réaliser une transaction immobilière de :"
"538","Rédiger des écrits pour le compte de particuliers ou d''entreprises :"
"540","Régler des équipements :"
"541","Régler ou surveiller une machine de transformation de matière plastique ou caoutchouc :"
"542","Régler, conduire une machine/un équipement de première transformation de bois :"
"544","Réparer des instruments de musique ou des accessoires :"
"546","Réparer la carrosserie de :"
"547","Réparer ou modifier des articles :"
"539","Redonner leur teinte initiale à des :"
"543","Remettre en état des produits par des opérations de :"
"548","Reporter ou reproduire un décor en petite série selon des techniques spécifiques :"
"549","Restaurer des objets /ouvrages spécifiques :"
"550","Restaurer/réparer des pièces, articles par des opérations:"
"551","Restituer des informations géographiques par une cartographie à thèmes spécifiques :"
"552","Sélectionner des éléments (mandrins, embouts, ...) et effectuer des opérations de :"
"553","Sélectionner un traitement en fonction du matériau :"
"554","Suivre et optimiser les étapes d''élaboration de produits alcoolisés :"
"555","Suivre un marché sur une zone :"
"556","Superviser des forages d''extraction :"
"557","Superviser des phases de fabrication :"
"558","Superviser l''activité d''un service spécifique :"
"559","Superviser l''activité d''un site d''exploitation de transport routier de personnes pour un réseau :"
"560","Superviser l''activité d''une unité de services au public dans un domaine :"
"561","Superviser un établissement de santé  :"
"562","Superviser un secteur/projet :"
"564","Superviser une équipe ou un atelier de production de  :"
"566","Superviser une équipe ou un atelier réalisant des opérations d''ennoblissement :"
"563","Superviser une équipe ou un atelier réalisant des opérations de confection :"
"567","Superviser une structure, un parc de véhicules en :"
"568","Superviser une unité élémentaire de production en :"
"569","Surveiller des équipements ou phases de transformation du fil :"
"570","Surveiller des phases de préparation du fil :"
"571","Surveiller et conduire une machine ou une ligne de consolidation de nappe de nontissé par procédé :"
"572","Surveiller et conduire une machine ou une ligne par :"
"573","Surveiller et réguler des équipements de production d''énergie nécessitant une habilitation spécifique :"
"574","Surveiller l''application des arrêtés du maire et des règlements sur les :"
"577","Surveiller le fonctionnement d''une installation ou d''un parc d''installations de chauffage par :"
"578","Surveiller le fonctionnement d''une installation, d''un parc d''installations frigorifiques ou de conditionnement d''air par :"
"575","Surveiller le fonctionnement de ressources d''exploitation spécifique :"
"576","Surveiller le fonctionnement de ressources d''exploitation spécifiques :"
"579","Surveiller les élèves lors de :"
"580","Surveiller ou conduire des phases de fabrication :"
"581","Surveiller ou réguler une installation de :"
"582","Surveiller un espace de baignade avec un diplôme spécifique :"
"583","Tailler des arbres ou ceps :"
"584","Tailler des pierres:"
"585","Tester/apprécier la qualité de produits ou de services :"
"586","Tracer, couper des plaques et panneaux de verre/vitrail et les assembler par des procédés spécifiques :"
"587","Traiter des informations dans un domaine :"
"588","Traiter des matériaux :"
"589","Transformer et façonner le métal par un procédé spécifique :"
"590","Transporter des :"
"591","Transporter des passagers au moyen d''une installation spécifique :"
"592","Transposer un texte ou des propos dans un domaine :"
