"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100458","Procéder à l''examen clinique de l''animal et déterminer les besoins thérapeutiques (médication, intervention chirurgicale, ...)","2","6","","",""
"100459","Informer le responsable de l''animal sur la prise en charge thérapeutique (traitement, risques, coût, durée, ...) ou l''orienter vers un service spécialisé (centre hospitalier vétérinaire, ...)","2","6","","",""
"100460","Réaliser les soins sur l''animal ou procéder à des examens complémentaires (radiographie, prélèvements biologiques, ...)","2","6","","",""
"100461","Réaliser l''intervention chirurgicale de l''animal et effectuer la surveillance post-opératoire","2","6","","",""
"100462","Conseiller sur l''alimentation, les soins, la médication de l''animal ou procéder à la vente de médicaments, d''apports nutritionnels","2","6","","",""
"100465","Utilisation de matériel de radiologie","1","7","","",""
"100466","Utilisation d''analyseur biologique","1","7","","",""
"100468","Psychologie animale","1","7","","",""
"100469","Diététique animale","1","7","","",""
"100470","Code de santé publique","1","7","","",""
"100471","Chirurgie vétérinaire","1","7","","",""
"100472","Intervenir auprès d''animaux de compétition","2","9","","",""
"100473","Intervenir auprès d''animaux de rente (bovins, ovins, ...)","2","9","","",""
"100474","Intervenir auprès d''animaux sauvages","2","9","","",""
"100475","Effectuer des analyses biologiques (parasitologie, bactériologie, virologie, ...)","2","9","","",""
"100482","Ostéopathie équine","1","10","","",""
"100483","Kinésithérapie animale","1","10","","",""
"100486","Déterminer les contraintes techniques de l''oeuvre liées aux caractéristiques des matériaux, aux conditions d''exposition, aux normes de sécurité","2","6","","",""
"100492","Harmonisation des couleurs","1","10","","",""
"100492","Harmonisation des couleurs","1","7","","",""
"100493","Perception des volumes","1","7","","",""
"100495","Culture artistique","1","7","","",""
"100501","Créer des oeuvres","2","9","","",""
"100506","Utilisation d''outils à bois manuels","1","10","","",""
"100506","Utilisation d''outils à bois manuels","1","7","","",""
"100507","Utilisation d''outillages électroportatifs (scie électrique, ponceuse, ...)","1","10","","",""
"100507","Utilisation d''outillages électroportatifs (scie électrique, ponceuse, ...)","1","7","","",""
"100508","Utilisation d''aérographe","1","10","","",""
"100512","Techniques de l''aquarelle","1","10","","",""
"100514","Dessin de détail","1","10","","",""
"100514","Dessin de détail","1","7","","",""
"100517","Techniques de moulage","1","10","","",""
"100517","Techniques de moulage","1","7","","",""
"100518","Techniques de montage vidéo","1","10","","",""
"100518","Techniques de montage vidéo","1","7","","",""
